  AU01_r,  AU02_r,  AU04_r,  AU05_r,  AU06_r,  AU07_r,  AU09_r,  AU10_r,  AU12_r,  AU14_r,  AU15_r,  AU17_r,  AU20_r,  AU23_r,  AU25_r,  AU26_r,  AU45_r,Class
0,0,1.83,2.59,0,0.92,0,1.21,0,0.15,1.37,2.53,0,0.45,0,0,0,frown
0,0,1.83,0.05,0,0,0.05,0.84,0,1.3,2.05,2.07,2.07,0.94,0,1,0,frown
0,0.22,1.52,1.2,0.57,0,0.71,1.28,0,0,1.66,0.2,0,0.19,0,0,0,frown
0,0,1.44,0,0.5,1.54,0.95,1.07,0,0,1.07,1.14,0.64,0,0,0,0,frown
0.96,0.1,2.46,0.56,0,1.07,0,0,0,0,0,0,0.34,0,0.31,0.12,0.43,frown
0.06,0,2.39,0,0,2.17,0,0,0,0,1.85,0.48,0.88,0.16,0,0,1.28,frown
0.34,0.33,0.11,0.5,0,0,0,0,0,0.09,1.21,0.65,0.6,0,0,0,0.14,frown
1.77,2.4,1.87,1.89,0,0,0,0.05,0,0.02,0.68,0,0,0,0,0,0,frown
0,0,2.82,0.11,0,0.27,0.34,1.29,0,0,0.16,0,0,0,0.99,0,0,frown
1.5,0.21,4.79,0.03,1.28,2.88,1.68,2.04,0.08,0,0,0,0,0,2.98,0.85,0.66,frown
1.37,0,2.26,1.67,0.79,1.93,1.09,0.86,0,0,1.17,0,0,0,0.36,0.01,0,frown
1.6,1.26,1.3,0,0,0.36,0,0.91,0.52,0,0.78,0.41,0.43,0,0.64,0,0.35,frown
0.08,0,3.66,0.93,0.65,2.13,0.67,0.11,0.43,0.48,0.12,0.92,0.6,0.71,0,0,0.85,frown
0,0,2.25,0.62,0,0,0.12,0.08,0.43,0,1.22,0.84,0.21,0.03,0,0,0,frown
0,0,1.92,0,0.1,1.38,0.7,0.02,0,0.74,0.24,0.57,1.81,0,0,0,0,frown
1.3,0,3.04,0.22,0.18,1.77,0,0,0,0,1.27,1.44,0.61,0,0,0,0,frown
0,0,0.93,0,1.55,4.16,3.78,1,0.7,0.88,0.23,1.28,0.8,0.52,0.53,0,0,frown
0.1,0,2.68,0,1.65,2.64,3.02,2.34,0,1.49,1.93,2.66,0.08,0,0,0.54,0,frown
0.76,0,0,0.29,2.62,1.03,0.24,2.74,3.14,3.1,0,0.04,0,0.39,2.48,0,0,smile
1.67,0,0,0.43,3.44,1.65,0.27,2.35,3.23,2.72,0,0,0.23,0,3.47,0,0,smile
0,0,0,0.57,2.71,1.42,0.68,2.17,2.9,1.75,0,0,0,0.12,2.72,0.26,0,smile
0,0,0,0,3.35,2.52,1.24,2.39,3.39,1.02,0,0,0.1,0,2.28,0,0.32,smile
0.42,0,2.22,0,3.2,1.47,1.32,3.54,3.46,2.2,0,0.01,0,0.04,2.82,0.28,0.39,smile
0.27,0.59,0,1.08,0.4,0.58,0.92,1.53,2.8,0.25,0,0,0,0,2.09,0.23,0,smile
1.1,1.32,0.58,0.1,3.92,2.38,2.13,3.53,4.27,4.21,0,0,0.43,0,5,1.26,0.35,smile
0.06,0,0.18,0,3.07,3.62,0.25,2.24,2.86,1.38,0,0,0.26,0,3.25,0.95,0.18,smile
0,0,0,0.38,2.17,1.84,0,1.52,3.5,1.57,0,0,1.25,0.2,2.18,0.22,0,smile
0,0,0,0.13,2.41,2.31,0.38,1.9,3.16,1.63,0,0,1.01,0,2.52,1.01,0,smile
0.93,0,0,0,2.12,0.97,0,1.24,3.37,1.96,0,0,0,0,2.62,0.03,0,smile
1.17,0,0.87,1.43,3.35,2.65,0.1,2.19,3.98,0.92,0,0,1.14,0,3.04,0.4,0.22,smile
0.33,0,0.11,0,1.88,2.28,1.14,3.64,1.43,1.08,0.46,0,0,0,2.52,0,0,smile
0.33,0,0,0,1.36,1.14,0,0.56,2.25,1.4,0,0,0.5,0,1.05,0,0,smile
0,0,0,0.7,1.93,0.59,0,0.48,3.29,0.91,0,0,0.27,0,2.7,0.83,0,smile
0.51,0.06,0.35,0.91,3.51,2.36,0,2.39,4,1.17,0.03,0,0.41,0.27,3.24,1.17,0,smile
0,0,0,0,0.83,1.14,0.01,0,1.32,1.29,0,0,0.3,0.1,0,0,0,smile
0,0,0,0,1.56,1.35,0,1.4,2.78,1.76,0,0,0,0,2.18,0.26,0,smile